No.,Time,Source,Destination,Protocol,Length,Info
397510,844.47386,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x8f0b4dfe
397511,844.570923,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=812d007605c033f9"
397512,844.651275,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397527,844.912357,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x34e11bef
397687,845.617783,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397688,845.676422,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397689,845.69098,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397702,846.0831,10.41.173.107,10.174.157.59,QUIC,1124,"Protected Payload (KP0), DCID=812d007605c033f9"
397703,846.083572,10.41.173.107,10.174.157.59,QUIC,804,"Protected Payload (KP0), DCID=812d007605c033f9"
397704,846.08453,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397705,846.084663,10.41.173.107,10.236.108.72,QUIC,324,"Protected Payload (KP0), DCID=8c33006501f726fd"
397706,846.144362,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397707,846.145119,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=812d007605c033f9"
397708,846.162282,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397709,846.166531,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397710,846.181183,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397711,846.215228,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397712,846.229885,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397713,846.232151,10.236.108.72,10.41.173.107,QUIC,112,Protected Payload (KP0)
397714,846.232901,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397715,846.268177,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397744,846.907147,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x34e11bef
397745,847.325419,10.41.173.107,10.254.180.215,QUIC,100,"Protected Payload (KP0), DCID=9c210086225cb778"
397762,847.419478,10.254.180.215,10.41.173.107,QUIC,80,Protected Payload (KP0)
397775,847.913965,10.174.157.59,10.41.173.107,QUIC,1264,Protected Payload (KP0)
397776,847.91397,10.174.157.59,10.41.173.107,QUIC,592,Protected Payload (KP0)
397777,847.9164,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=812d007605c033f9"
397778,847.916613,10.41.173.107,10.174.157.59,QUIC,68,"Protected Payload (KP0), DCID=812d007605c033f9"
397779,847.963137,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397780,848.332237,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397781,848.333345,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397782,848.341283,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397783,848.341549,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397784,848.370732,10.41.173.107,10.174.157.59,QUIC,132,"Protected Payload (KP0), DCID=b72d008102e41e26"
397785,848.371077,10.41.173.107,10.174.157.59,QUIC,1284,"Protected Payload (KP0), DCID=b72d008102e41e26"
397786,848.371229,10.41.173.107,10.174.157.59,QUIC,196,"Protected Payload (KP0), DCID=b72d008102e41e26"
397787,848.379157,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397804,848.396138,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397805,848.400528,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397806,848.400531,10.236.108.72,10.41.173.107,QUIC,112,Protected Payload (KP0)
397807,848.400532,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397808,848.410668,10.41.173.107,10.174.157.59,QUIC,68,"Protected Payload (KP0), DCID=b72d008102e41e26"
397809,848.413884,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397810,848.424171,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397811,848.435297,10.174.157.59,10.41.173.107,QUIC,496,Protected Payload (KP0)
397812,848.436906,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=b72d008102e41e26"
397813,848.482209,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397814,848.502261,10.236.108.72,10.41.173.107,QUIC,432,Protected Payload (KP0)
397815,848.503657,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397816,848.524372,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397817,848.525181,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397818,848.52529,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397819,848.545199,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397820,848.565182,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397821,848.576555,10.236.108.72,10.41.173.107,QUIC,112,Protected Payload (KP0)
397822,848.576636,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397823,848.577237,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397824,848.589703,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397825,848.77209,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397826,848.792238,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x8f0b4dfe
397827,848.793463,10.236.108.72,10.41.173.107,QUIC,1136,Protected Payload (KP0)
397828,848.794354,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397829,848.826133,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397830,848.876273,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397843,848.888822,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
397860,849.519404,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x34e11bef
397928,852.135999,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397929,852.136072,10.41.173.107,10.236.108.72,QUIC,164,"Protected Payload (KP0), DCID=8c33006501f726fd"
397930,852.139321,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397931,852.139389,10.41.173.107,10.236.108.72,QUIC,740,"Protected Payload (KP0), DCID=8c33006501f726fd"
397933,852.186442,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397934,852.186528,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
