No.,Time,Source,Destination,Protocol,Length,Info
8896,2130.180939,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8897,2130.181061,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8898,2130.181107,10.148.138.27,10.214.183.228,QUIC,65,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8899,2130.181137,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8900,2130.184280,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8901,2130.184381,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8902,2130.184423,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8903,2130.186380,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8904,2130.186477,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8905,2130.186514,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8906,2130.186540,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8907,2130.186564,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8908,2130.187522,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8909,2130.188425,10.148.138.27,10.214.183.228,QUIC,65,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8910,2130.188592,10.148.138.27,10.214.183.228,QUIC,65,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8911,2130.188731,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8912,2130.188857,10.214.183.228,10.148.138.27,TLSv1.2,1596,"Application Data, Application Data"
8913,2130.191186,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8914,2130.191479,10.148.138.27,10.214.183.228,TCP,40,46090  >  443 [ACK] Seq=3347 Ack=36088 Win=248832 Len=0
8915,2130.191912,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8916,2130.192124,10.214.183.228,10.148.138.27,TLSv1.2,3705,"Application Data, Application Data, Application Data"
8917,2130.192637,10.148.138.27,10.214.183.228,TCP,40,46090  >  443 [ACK] Seq=3347 Ack=39753 Win=268288 Len=0
8918,2130.192712,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8919,2130.192916,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8920,2130.193178,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8921,2130.193296,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8922,2130.193385,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8923,2130.193466,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8924,2130.193542,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8925,2130.193620,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8926,2130.193702,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8927,2130.193814,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8928,2130.193904,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8929,2130.193980,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8930,2130.198569,10.148.138.27,10.214.183.228,QUIC,65,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
